,BTC,SPY,QQQ,Gold,TLT,VIX
2018-06-04,7514.47021484375,242.30238342285156,165.47544860839844,122.37000274658203,94.95463562011719,12.739999771118164
2018-06-05,7633.759765625,242.4787139892578,165.9880828857422,122.8499984741211,95.1772689819336,12.399999618530273
2018-06-06,7653.97998046875,244.50596618652344,166.9564666748047,122.91999816894531,94.40611267089844,11.640000343322754
2018-06-07,7678.240234375,244.4795379638672,165.5988311767578,122.86000061035156,95.32042694091797,12.130000114440918
2018-06-08,7624.919921875,245.20230102539062,165.60836791992188,123.01000213623047,95.03422546386719,12.180000305175781
2018-06-11,6906.919921875,245.52841186523438,166.05453491210938,123.2300033569336,94.85923767089844,12.350000381469727
2018-06-12,6582.35986328125,245.84567260742188,166.92791748046875,122.81999969482422,94.88311004638672,12.34000015258789
2018-06-13,6349.89990234375,245.06121826171875,166.91851806640625,123.19000244140625,94.83541107177734,12.9399995803833
2018-06-14,6675.35009765625,245.67831420898438,168.60833740234375,123.37999725341797,95.62249755859375,12.119999885559082
2018-06-15,6456.580078125,245.36485290527344,168.01971435546875,121.33999633789062,95.70999145507812,11.979999542236328
2018-06-18,6734.81982421875,244.86019897460938,167.9226531982422,121.11000061035156,95.62249755859375,12.3100004196167
2018-06-19,6769.93994140625,243.92169189453125,167.4469757080078,120.80000305175781,96.17906951904297,13.350000381469727
2018-06-20,6776.5498046875,244.33770751953125,168.63624572753906,120.26000213623047,95.33629608154297,12.789999961853027
2018-06-21,6729.740234375,242.8060302734375,167.17108154296875,120.05000305175781,95.83717346191406,14.640000343322754
2018-06-22,6083.68994140625,243.24880981445312,166.800048828125,120.33999633789062,95.8292236328125,13.770000457763672
2018-06-25,6249.18017578125,239.93751525878906,163.04196166992188,119.88999938964844,96.04387664794922,17.329999923706055
2018-06-26,6093.669921875,240.4687042236328,163.7079315185547,119.26000213623047,96.17906951904297,15.920000076293945
2018-06-27,6157.1298828125,238.47659301757812,161.48167419433594,118.58000183105469,97.0854263305664,17.90999984741211
2018-06-28,5903.43994140625,239.8400115966797,162.8707733154297,118.22000122070312,97.10929870605469,16.850000381469727
2018-06-29,6218.2998046875,240.18539428710938,163.308349609375,118.6500015258789,96.77537536621094,16.09000015258789
2018-07-02,6614.18017578125,240.69886779785156,164.4024658203125,117.45999908447266,96.69961547851562,15.600000381469727
2018-07-03,6529.58984375,239.8488311767578,162.49964904785156,118.6500015258789,97.2176284790039,16.139999389648438
2018-07-05,6639.14013671875,241.80563354492188,164.5166473388672,119.05000305175781,97.49652099609375,14.970000267028809
2018-07-06,6673.5,243.85086059570312,167.075927734375,118.86000061035156,97.81523895263672,13.369999885559082
2018-07-09,6741.75,246.04656982421875,168.5791778564453,119.1500015258789,97.18570709228516,12.6899995803833
2018-07-10,6329.9501953125,246.9319305419922,168.70281982421875,118.93000030517578,97.17776489257812,12.640000343322754
2018-07-11,6394.7099609375,245.12576293945312,167.84654235839844,117.63999938964844,97.5522689819336,13.630000114440918
2018-07-12,6228.81005859375,247.34812927246094,170.73887634277344,118.12999725341797,97.54432678222656,12.579999923706055
2018-07-13,6238.0498046875,247.54287719726562,170.88153076171875,117.61000061035156,97.79137420654297,12.180000305175781
2018-07-16,6741.75,247.321533203125,170.47244262695312,117.55000305175781,97.38494873046875,12.829999923706055
2018-07-17,7321.0400390625,248.3219757080078,171.5094451904297,116.27999877929688,97.20167541503906,12.0600004196167
2018-07-18,7370.77978515625,248.84437561035156,171.18600463867188,116.30999755859375,96.81121826171875,12.100000381469727
2018-07-19,7466.85986328125,247.90589904785156,170.3297576904297,115.80999755859375,97.42481994628906,12.869999885559082
2018-07-20,7354.1298828125,247.62254333496094,170.2916259765625,116.55999755859375,96.22947692871094,12.859999656677246
2018-07-23,7711.10986328125,248.0830078125,170.83395385742188,116.0,95.04215240478516,12.619999885559082
2018-07-24,8424.26953125,249.33132934570312,171.53805541992188,116.04000091552734,95.36888885498047,12.40999984741211
2018-07-25,8181.39013671875,251.45631408691406,173.93553161621094,116.68000030517578,95.21749114990234,12.289999961853027
2018-07-26,7951.580078125,250.86297607421875,171.30015563964844,115.7699966430664,95.03426361083984,12.140000343322754
2018-07-27,8165.009765625,249.16311645507812,168.98828125,115.83000183105469,95.19356536865234,13.029999732971191
2018-07-30,8180.47998046875,247.86158752441406,166.6002197265625,115.6500015258789,94.86687469482422,14.260000228881836
2018-07-31,7780.43994140625,249.08346557617188,167.87510681152344,115.98999786376953,95.38481140136719,12.829999923706055
2018-08-01,7624.91015625,248.66725158691406,168.51251220703125,115.13999938964844,94.60774230957031,13.149999618530273
2018-08-02,7567.14990234375,250.02195739746094,170.80543518066406,114.5199966430664,94.74351501464844,12.1899995803833
2018-08-03,7434.39013671875,251.0931854248047,171.32870483398438,114.91999816894531,95.21472930908203,11.640000343322754
2018-08-06,6951.7998046875,252.01400756835938,172.3372039794922,114.33000183105469,95.2706069946289,11.270000457763672
2018-08-07,6753.1201171875,252.84622192382812,172.965087890625,114.58999633789062,94.77546691894531,10.930000305175781
2018-08-08,6305.7998046875,252.74005126953125,173.17445373535156,114.91000366210938,94.87130737304688,10.850000381469727
2018-08-09,6568.22998046875,252.39471435546875,173.0697784423828,114.73999786376953,95.66995239257812,11.270000457763672
2018-08-10,6184.7099609375,250.7036590576172,171.74734497070312,114.69000244140625,96.36476135253906,13.15999984741211
2018-08-13,6297.56982421875,249.7652587890625,171.55706787109375,112.95999908447266,96.16511535644531,14.779999732971191
2018-08-14,6199.7099609375,251.35882568359375,172.6321258544922,113.06999969482422,95.9494857788086,13.3100004196167
2018-08-15,6308.52001953125,249.48182678222656,170.52000427246094,111.19000244140625,96.50849914550781,14.640000343322754
2018-08-16,6334.72998046875,251.50048828125,171.08132934570312,111.0999984741211,96.50053405761719,13.449999809265137
2018-08-17,6580.6298828125,252.3858642578125,171.119384765625,112.12999725341797,96.62036895751953,12.640000343322754
2018-08-20,6308.52978515625,252.92588806152344,170.96717834472656,112.69000244140625,97.2672348022461,12.489999771118164
2018-08-21,6488.759765625,253.51922607421875,171.5950927734375,113.0199966430664,96.9397964477539,12.859999656677246
2018-08-22,6376.7099609375,253.36863708496094,172.26107788085938,113.2699966430664,97.32315063476562,12.25
2018-08-23,6534.8798828125,253.03221130371094,172.01373291015625,112.19999694824219,97.47490692138672,12.40999984741211
2018-08-24,6719.9599609375,254.55511474609375,173.61209106445312,114.16000366210938,97.66655731201172,11.989999771118164
2018-08-27,6884.64013671875,256.5647888183594,175.38168334960938,114.58999633789062,97.10751342773438,12.15999984741211
2018-08-28,7096.27978515625,256.6888732910156,175.6385498046875,113.68000030517578,96.52454376220703,12.5
2018-08-29,7047.16015625,258.07000732421875,177.66505432128906,114.19999694824219,96.65227508544922,12.25
2018-08-30,6978.22998046875,257.0252380371094,177.35104370117188,113.63999938964844,96.85990905761719,13.529999732971191
2018-08-31,7037.580078125,257.0340576171875,177.5793914794922,113.51000213623047,96.63629913330078,12.859999656677246
2018-09-04,7361.66015625,256.5914001464844,176.81832885742188,112.93000030517578,96.07756805419922,13.15999984741211
2018-09-05,6792.830078125,255.9009246826172,174.53492736816406,113.31999969482422,95.8214111328125,13.90999984741211
2018-09-06,6529.169921875,255.13055419921875,172.97463989257812,113.54000091552734,96.17366027832031,14.649999618530273
2018-09-07,6467.06982421875,254.634765625,172.3086700439453,113.2300033569336,95.35716247558594,14.880000114440918
2018-09-10,6329.7001953125,255.07742309570312,172.88900756835938,113.1500015258789,95.70939636230469,14.15999984741211
2018-09-11,6321.2001953125,255.91851806640625,174.220947265625,113.22000122070312,94.98094940185547,13.220000267028809
2018-09-12,6351.7998046875,255.98048400878906,173.7071990966797,114.16999816894531,95.2051010131836,13.140000343322754
2018-09-13,6517.31005859375,257.4945983886719,175.5624542236328,113.76000213623047,95.34919738769531,12.369999885559082
2018-09-14,6512.7099609375,257.538818359375,175.04869079589844,113.0199966430664,94.89292907714844,12.069999694824219
2018-09-17,6281.2001953125,256.17529296875,172.5274658203125,113.61000061035156,94.89292907714844,13.680000305175781
